SelltoCustomerNo_,No_,OnHold,Gen_Bus_PostingGroup,SelltoCustomerName,SelltoCountryRegionCode,c004_Instrument_Count,ColorStatusTxt
,O-05699,,,,GB,0,
,O-05701,,,,GB,0,
C-9076,O-05704,,DISTRIBUTOR,,CZ,0,
C-7779,O-05712,,CUSTOMER,,BE,0,
,O-05715,,,,JP,0,
C-1924,O-05722,,CUSTOMER,,TW,0,
C-2810,O-05733,,CUSTOMER,,NL,0,
C-9134,O-05757,,CRTSY,,NL,0,
,O-05767,,,,JP,0,
C-6432,O-05845,ADM,SUB-FRA,,FR,0,
C-6757,O-05851,,CUSTOMER,,US,0,
C-9057,O-05859,,CUSTOMER,,US,1,
C-3413,O-05873,,DISTRIBUTOR,,DE,0,
C-5779,O-05878,,SUB-CHI,,CN,0,
C-4086,O-05880,,DISTRIBUTOR,,US,1,
C-9585,O-05885,,DISTRIBUTOR,,US,0,
C-7432,O-05900,,CUSTOMER,,IN,3,
C-8661,O-05986,,SUPPLIER,,CN,0,
,O-05994,,,,JP,0,
C-9032,O-06004,HFT,CUSTOMER,,IN,2,
,O-06029,,,,JP,0,
C-1496,O-06040,,SUB-NET,,NL,0,
,O-06095,,,,JP,0,
C-1287,O-06096,,SUB-FRA,,ID,0,
C-2287,O-06136,,CUSTOMER,,US,0,
C-1110,O-06137,,SUB-NET,,US,0,
C-5362,O-06167,,CUSTOMER,,KR,0,
C-6540,O-06180,,CUSTOMER,,KR,0,
C-0574,O-06181,HFT,DISTRIBUTOR,,TR,0,
C-5922,O-06196,,DISTRIBUTOR,,US,0,
C-3833,O-06204,HFT,CUSTOMER,,US,0,
C-6386,O-06206,,SUPPLIER,,US,0,
C-4633,O-06222,ADM,DISTRIBUTOR,,TH,1,Green
C-0214,O-06241,,CUSTOMER,,CH,0,
C-0827,O-06258,,CUSTOMER,,US,0,
C-6633,O-06331,,CUSTOMER,,US,1,
C-6247,O-06332,,CUSTOMER,,US,1,
C-7133,O-06350,,CUSTOMER,,US,2,Blue
C-5696,O-06353,,CUSTOMER,,CN,1,
,O-06359,,,,GB,0,
,O-06361,,,,GB,0,
,O-06365,,,,GB,0,
C-7633,O-06371,,CUSTOMER,,EG,0,
C-4593,O-06374,,CUSTOMER,,SA,0,
C-7868,O-06380,,SUB-KOR,,CN,0,
C-2748,O-06396,,DISTRIBUTOR,,US,0,
,O-06411,,,,GB,0,
C-8533,O-06417,,CUSTOMER,,PL,0,
,O-06418,,,,GB,0,
,O-06461,,,,GB,0,
,O-06462,,,,GB,0,
,O-06477,,,,AU,0,
C-8673,O-06651,HFT,DISTRIBUTOR,,TR,0,
C-3134,O-06673,,CUSTOMER,,IN,1,Green
C-5851,O-06694,,CUSTOMER,,CN,0,
C-0551,O-06714,,CUSTOMER,,US,0,
C-0097,O-06721,,SUB-CHI,,CN,0,
C-0097,O-06723,,SUB-CHI,,CN,0,
C-2490,O-06739,,WAR-PRT,,TH,0,
C-9979,O-06761,,CUSTOMER,,US,1,
C-9691,O-06767,,DISTRIBUTOR,,JP,2,
C-8661,O-06771,,SUPPLIER,,RO,0,
C-4437,O-06824,,CUSTOMER,,US,0,
C-7334,O-06867,ADM,SUB-KOR,,KR,4,
C-7634,O-06884,,CUSTOMER,,US,1,Blue
C-2995,O-06902,,CUSTOMER,,US,0,
C-7940,O-06907,,DISTRIBUTOR,,PL,0,
C-4466,O-06971,,CUSTOMER,,CN,0,
C-8515,O-06982,ADM,CUSTOMER,,CN,0,
C-7868,O-06990,,SUB-KOR,,KR,0,
C-1135,O-07002,,CUSTOMER,,PR,0,
C-1535,O-07005,,CUSTOMER,,US,0,
C-7610,O-07008,,CUSTOMER,,US,0,
C-1190,O-07020,HFT,CUSTOMER,,CH,0,
C-7491,O-07032,,CUSTOMER,,US,0,
C-4712,O-07042,ADM,CUSTOMER,,BR,0,
C-2276,O-07044,,SUB-FRA,,FR,0,
C-8332,O-07051,,CUSTOMER,,US,0,
C-8776,O-07054,,DISTRIBUTOR,,IN,0,
C-9076,O-07060,ADM,DISTRIBUTOR,,CZ,0,
,O-07077,,,,AU,0,
C-9691,O-07091,,DISTRIBUTOR,,JP,0,
C-3935,O-07106,HFT,CUSTOMER,,IN,1,Green
C-3193,O-07113,,DISTRIBUTOR,,DE,0,
C-0097,O-07153,,SUB-CHI,,CN,0,
C-9215,O-07156,,WAR-PRT,,FR,0,
C-1130,O-07163,,SUB-FRA,,FR,0,
C-7156,O-07166,,CUSTOMER,,NL,0,
C-0062,O-07167,,CUSTOMER,,US,0,
C-0397,O-07185,,CUSTOMER,,CN,0,
C-4935,O-07192,,CUSTOMER,,US,0,
C-5135,O-07203,,CUSTOMER,,US,1,
C-6776,O-07211,,DISTRIBUTOR,,ZA,0,
C-9390,O-07217,,SUPPLIER,,ES,0,
C-6035,O-07240,,CUSTOMER,,US,1,
C-0975,O-07262,HFT,DISTRIBUTOR,,IL,0,
C-7035,O-07263,HFT,DISTRIBUTOR,,IL,1,
C-9585,O-07270,,CUSTOMER,,IT,0,
C-2748,O-07296,,DISTRIBUTOR,,SE,0,
C-1555,O-07297,,CUSTOMER,,US,0,
C-3810,O-07308,,CUSTOMER,,US,0,
C-8235,O-07315,,DISTRIBUTOR,,TR,1,
C-9035,O-07332,,CUSTOMER,,US,1,
C-2736,O-07339,,CUSTOMER,,US,0,
C-4834,O-07344,,CUSTOMER,,US,4,
C-9235,O-07346,,CUSTOMER,,US,1,
C-7211,O-07363,,SUB-UK,,GB,0,
C-8679,O-07365,,SUPPLIER,,US,0,
C-4591,O-07375,,SUB-FRA,,FR,1,
C-6431,O-07377,,WAR-PRT,,CH,0,
C-0565,O-07387,,DISTRIBUTOR,,HU,0,
C-6886,O-07388,,CUSTOMER,,US,0,
C-0533,O-07391,,CUSTOMER,,US,0,
C-0236,O-07421,,CUSTOMER,,US,0,
C-4113,O-07434,,CUSTOMER,,MA,0,
C-8178,O-07450,,SUB-UK,,GB,0,
C-8178,O-07451,,SUB-UK,,GB,0,
C-4184,O-07453,,CUSTOMER,,US,0,
C-1536,O-07464,,CUSTOMER,,IN,1,
C-0763,O-07468,,CUSTOMER,,RO,0,
C-6414,O-07487,,CUSTOMER,,US,0,
C-2792,O-07490,ADM,CUSTOMER,,US,0,
C-2443,O-07494,,CUSTOMER,,US,0,
C-3198,O-07503,HFT,CUSTOMER,,CN,2,
C-1477,O-07507,,CUSTOMER,,US,1,
C-3035,O-07512,ADM,CUSTOMER,,US,2,Blue
C-5764,O-07521,,CUSTOMER,,CN,0,
C-0135,O-07530,,CUSTOMER,,US,1,
C-5262,O-07540,,CUSTOMER,,ID,0,
C-2736,O-07541,HFT,CUSTOMER,,CN,2,
C-3236,O-07564,HFT,CUSTOMER,,CN,1,
C-3436,O-07566,,CUSTOMER,,IN,1,
C-9970,O-07573,,DISTRIBUTOR,,CA,0,
C-3936,O-07580,,CUSTOMER,,US,1,
C-4836,O-07593,,CUSTOMER,,BR,1,
C-0097,O-07603,,SUB-CHI,,CN,0,
C-0466,O-07608,,CUSTOMER,,US,0,
C-4146,O-07614,,CUSTOMER,,AE,0,
C-5236,O-07617,,SUB-CHI,,CN,1,Blue
C-7524,O-07618,,CUSTOMER,,ID,0,
C-5336,O-07623,CMP,CUSTOMER,,CN,1,
C-9542,O-07637,,CUSTOMER,,US,0,
C-6136,O-07641,,CUSTOMER,,CN,2,
C-6236,O-07643,HFT,CUSTOMER,,CN,1,
C-0790,O-07654,,CUSTOMER,,US,0,
C-3162,O-07658,,DISTRIBUTOR,,MX,0,
C-5135,O-07663,,CUSTOMER,,US,0,
C-5036,O-07667,ADM,CUSTOMER,,BR,1,Green
C-1736,O-07692,,SUB-KOR,,US,0,
C-6713,O-07694,,CUSTOMER,,US,0,
C-7236,O-07695,,CUSTOMER,,US,1,
C-7336,O-07696,,CUSTOMER,,US,1,
C-9233,O-07702,ADM,SUB-KOR,,KR,1,
C-7836,O-07703,,CUSTOMER,,CN,1,
